ACCTAGE,DDA,DDABAL,DEP,DEPAMT,CASHBK,CHECKS,DIRDEP,NSF,NSFAMT,PHONE,TELLER,SAV,SAVBAL,ATM,ATMAMT,POS,POSAMT,CD,CDBAL,IRA,IRABAL,LOC,LOCBAL,INV,INVBAL,ILS,ILSBAL,MM,MMBAL,MMCRED,MTG,MTGBAL,CC,CCBAL,CCPURC,SDB,INCOME,HMOWN,LORES,HMVAL,AGE,CRSCORE,MOVED,INAREA,INS,BRANCH,RES
0.6,1,5112.49,6,8887.2,0,15,1,0,0,2,2,1,174.47,1,0,5,799.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2974.99,1,0,61,1,7,124,34,684,0,1,0,B9,S
2,1,247.64,3,558.42,0,3,0,0,0,0,0,1,29.19,1,0,1,21.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,9.5,83,37,618,0,1,0,B1,R
4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15106.05,0,0,0,0,0,0,1,80,1,8,113,72,721,0,0,0,B5,R
2.6,0,0,0,0,0,0,0,0,0,,0,1,622.43,1,835.68,,,1,4700,0,0,0,0,,,0,0,0,0,0,1,62409.4,,,,0,50,1,5,120,33,567,0,1,1,B15,U
5.3,1,495.29,4,1715.65,0,5,1,0,0,0,2,1,327.76,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1,10,96,54,682,0,1,0,B5,S
3.8,1,731.07,2,876.74,0,2,0,1,4.48,,0,1,133.14,1,372.2,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,,0,48,0,3.5,114,35,588,0,1,1,B15,U
6.8,1,5482.37,1,187.05,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,4.5,121,62,610,0,1,0,B8,S
2.7,1,943,4,1867.85,0,7,1,0,0,0,0,0,0,1,874.55,2,79.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2215.23,0,0,16,1,11,94,73,709,0,1,0,B4,S
4.2,1,110.96,3,1439.98,0,8,0,1,55.51,0,0,1,136.64,1,848.11,0,0,0,0,0,0,1,23030.7,0,0,1,10113.99,0,0,0,0,0,1,154243.01,1,0,25,1,8.5,88,41,646,0,1,1,B6,S
3.6,1,882.75,4,16475.2,0,13,0,0,0,0,6,0,0,1,1548.45,0,0,1,19800,0,0,0,0,0,0,0,0,1,15548.4,1,0,0,0,0,0,0,,,,,,665,0,1,1,B2,U
5.6,1,627.61,3,1081.5,0,6,1,0,0,0,0,1,19399.34,1,605.46,0,0,0,0,1,5591.88,0,0,0,0,0,0,0,0,0,0,0,1,153.06,0,0,,,,,,650,0,1,1,B4,S
20,1,1479.28,2,2336.79,0,3,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2895.97,0,0,107,0,1,149,,,0,1,1,B5,U
,1,1914.48,2,1161.04,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1,9.5,106,47,679,0,1,0,B4,S
3.9,1,7035.96,3,3291.13,0,8,1,0,0,,2,1,5617.23,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,,0,,,,,,684,0,1,0,B15,U
4.3,0,0,0,0,0,0,0,0,0,0,0,1,8126.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,285.58,0,0,19,0,5,84,36,616,0,1,0,B6,S
0.5,1,99.03,2,877.32,0,0,0,1,3.64,0,1,0,0,1,240.63,2,43.25,1,7800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,5,85,56,624,0,1,0,B4,U
0.9,1,292.25,2,540.76,0,1,0,0,0,0,0,1,382.56,1,997.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,333.9,2,0,22,0,4,98,65,693,0,1,0,B4,U
18.1,1,2143.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,8,101,65,669,0,1,0,B16,R
3.9,1,6191.81,2,1208.33,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,681,0,1,1,B2,S
16.2,1,204.72,1,255.62,0,0,1,1,2.22,0,0,1,324.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1,9,108,81,729,0,1,0,B4,S
4.3,1,966.24,2,1032.42,0,5,0,0,0,0,4,1,1188.5,1,28.83,0,0,1,500,0,0,0,0,0,0,0,0,1,15626.19,0,0,0,1,0,0,1,10,1,10,82,70,754,0,1,0,B5,S
4,1,515.57,2,1795.7,0,6,0,0,0,0,0,1,3355.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,696,0,1,0,B4,S
8.7,1,896.02,2,1119.19,0,2,0,0,0,0,7,1,8.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15460.33,1,0,0,1,1534.16,0,0,43,0,4.5,102,39,690,0,1,1,B2,R
2.4,1,390.48,2,421.51,0,0,0,0,0,0,0,0,0,1,758.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,547,0,1,0,B2,U
20.4,0,0,0,0,0,0,0,0,0,0,0,1,289.85,1,239.05,0,0,0,0,0,0,0,0,0,0,0,0,1,14965.14,0,0,0,1,7218.1,0,0,45,0,3.5,117,35,656,0,1,0,B2,S
0.4,1,404.07,1,394.32,0,1,0,0,0,0,2,1,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,16,77,53,630,0,1,0,B4,U
1.6,1,617.52,2,812.74,0,8,1,0,0,2,2,0,0,0,0,1,68.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,1,6,111,28,636,0,1,1,B4,R
1,1,246.83,2,798.81,0,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,9,102,41,666,0,1,0,B16,R
1.6,1,149.48,5,727.81,0,2,0,1,46.86,2,0,1,95.54,1,1010.61,1,8.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,1,13,105,72,671,0,1,0,B4,U
2.4,1,199.94,2,1351.45,0,3,0,0,0,0,2,1,1.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,4,86,42,648,0,1,0,B4,S
33.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,6,93,53,719,0,1,0,B4,S
16.2,0,0,0,0,0,0,0,0,0,0,0,1,666.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.09,0,0,37,0,7.5,108,34,646,0,1,1,B2,S
30.2,0,0,0,0,0,0,0,0,0,0,0,1,330.68,0,0,0,0,1,16700,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,678,0,1,1,B4,U
0.3,1,551.04,4,1488.33,0,4,1,1,2.37,1,2,1,161.9,1,263.39,2,70.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,1,11,101,37,708,0,1,0,B1,S
0.3,1,1028.83,1,123.9,0,0,0,0,0,,0,1,22.21,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,,1,42,1,10,99,64,684,0,1,1,B14,R
,1,670.02,4,2002.07,0,5,1,0,0,,2,1,707.64,1,1199.2,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,,1,57,0,4,113,38,618,0,1,0,B18,S
11.5,1,612.25,2,566.5,0,4,0,0,0,0,2,1,17931.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,85.8,0,0,54,0,3,107,43,673,0,1,1,B2,S
1.2,1,49.98,2,298.36,0,2,0,0,0,0,1,0,0,1,242.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,4.5,109,60,728,1,1,0,B1,S
21.9,0,0,0,0,0,0,0,0,0,0,0,1,17312.78,0,0,0,0,1,98900,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21.22,0,0,48,0,5,107,29,656,0,0,1,B7,U
,1,364,3,1321.7,0,5,1,0,0,0,3,1,91.31,1,175.83,3,49.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,1,11,131,44,638,0,1,0,B3,U
0.9,1,4.41,1,107.89,0,0,0,1,4.62,0,3,1,6.36,1,91.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,3,94,52,574,0,1,0,B6,U
2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1964.66,0,0,8,1,8,86,54,663,0,0,0,B7,S
1,1,8.13,2,229.6,0,0,0,0,0,,0,0,0,1,499.66,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,,0,10,0,7,96,24,637,0,1,0,B15,R
0.7,1,28370.82,2,8664.28,0,0,0,0,0,0,2,0,0,0,0,0,0,1,10900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,8.5,132,56,638,0,1,1,B3,R
3,1,272.08,2,715.5,0,2,0,0,0,0,1,1,1232.11,1,1306.75,0,0,1,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,705,0,1,1,B3,R
11.3,0,0,0,0,0,0,0,0,0,0,0,1,13734.16,0,0,0,0,1,2700,0,0,0,0,0,0,0,0,0,0,0,0,0,1,470.15,0,0,133,1,5.5,175,46,631,0,1,1,B1,S
0.5,1,2.17,2,659.74,0,1,0,1,8.27,2,0,0,0,1,837.73,2,57.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,3.5,118,52,674,0,1,0,B4,U
6.1,1,986.25,2,2383.51,0,6,1,0,0,0,0,0,0,1,1274.86,5,621.89,0,0,0,0,0,0,0,0,0,0,1,15691.39,0,0,0,0,0,0,0,56,0,3.5,128,30,639,1,1,0,B4,U
10.3,1,1132.89,3,2005.61,0,4,0,0,0,0,3,1,5624.05,0,0,0,0,1,800,0,0,0,0,0,0,0,0,0,0,0,0,0,1,650.32,0,0,30,1,6.5,106,62,742,0,1,0,B3,R
0.9,1,225.08,2,1215.71,0,3,0,0,0,1,0,1,1.33,1,1700.03,3,116.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,1,8,85,42,736,0,1,0,B5,S
2.9,1,1645.34,2,1800.28,0,3,1,0,0,2,1,1,0,1,322.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,659,0,1,0,B2,U
16.1,1,306.68,1,292.12,0,0,0,0,0,,1,0,0,1,54.93,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,,0,24,0,9,119,,,0,1,1,B15,U
4.3,1,673.06,1,2740.3,0,8,0,0,0,0,1,1,34033.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.11,0,0,149,1,5.5,145,33,685,0,1,1,B7,S
5.2,1,1858.86,3,6515.72,0,6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,54.55,0,0,122,1,8.5,143,49,633,0,1,1,B5,U
4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15068.12,1,0,0,1,462.22,0,0,26,1,10,101,58,685,0,0,1,B7,R
0.7,0,0,0,0,0,0,0,0,0,0,0,1,7242.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,382.32,0,1,,,,,,712,0,1,0,B4,R
0.8,1,2132.55,1,851.67,0,0,0,0,0,0,0,0,0,1,249.74,1,8.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,699,0,1,0,B2,U
2,1,242.63,4,996.82,1,2,1,0,0,2,7,1,49.77,1,145.59,8,245.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,3.5,135,,,0,1,0,B16,R
,1,3617.96,1,276.78,0,0,0,0,0,0,0,1,911.53,0,0,0,0,0,0,0,0,1,74606.27,0,0,1,10465.98,0,0,0,0,0,1,95995.92,1,0,45,1,6.5,122,42,699,0,1,0,B1,R
3.8,0,0,0,0,0,0,0,0,0,0,0,1,5516.88,0,0,0,0,0,0,0,0,0,0,0,0,1,10105.73,0,0,0,0,0,1,69673.25,0,0,20,1,10,109,44,655,0,1,1,B1,S
5.3,1,1106.31,2,1559.84,0,12,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15850.15,0,0,0,1,265.72,1,0,28,0,3.5,103,49,659,0,1,1,B1,U
4.3,1,332.04,2,3188.93,0,16,0,1,15.46,1,3,0,0,1,497.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,3.5,119,34,678,0,1,1,B3,U
1.9,1,796.51,2,4025.92,0,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1116.69,1,0,15,0,4,104,39,644,0,1,0,B2,U
4.1,1,821.41,3,1760.12,0,5,0,0,0,0,5,0,0,1,1293.09,8,168.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,1,10,113,38,605,0,1,0,B4,S
0.5,1,255.03,4,415.72,0,4,0,0,0,1,0,1,74.39,1,587.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,678,0,1,0,B3,S
2.5,1,6301.7,2,3628.32,1,6,1,0,0,0,3,0,0,1,651.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12212.98,0,0,,,,,,,0,1,1,B2,S
3.8,1,2328.04,1,769.97,0,2,0,0,0,0,3,0,0,1,1484.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,4.5,121,42,618,0,1,0,B1,U
3.8,1,598.76,1,592.66,0,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,1,14,84,65,670,0,1,1,B5,S
21.5,1,1086.8,3,1068.16,0,9,0,0,0,1,0,0,0,1,1174.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,607,0,1,0,B2,U
0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4276.87,0,0,1,0,0,0,1,15041.54,0,0,0,0,0,0,0,25,1,12,94,70,705,0,0,1,B1,U
20.9,0,0,0,0,0,0,0,0,0,0,0,1,45375.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8700.56,1,0,0,0,0,0,1,15,1,10.5,76,57,709,0,0,1,B1,U
0.5,1,51.83,1,666.49,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,7,99,69,691,0,1,0,B4,U
6.7,1,5884.03,4,4633.99,0,20,0,0,0,0,3,1,0.01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,22324.31,1,20433.71,1,0,95,1,3.5,154,63,623,0,1,0,B8,S
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,1,8.5,87,43,677,0,0,1,B5,R
4.4,1,683.87,3,2198.43,0,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,9.5,90,44,624,0,1,0,B4,S
1.9,1,257.48,3,1696.86,0,10,1,0,0,,0,0,0,1,1172.06,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,,0,17,0,4,87,57,768,0,1,0,B15,S
0.3,1,818.01,1,714.83,0,0,0,0,0,0,1,1,899.37,1,946.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1,7,111,72,712,1,1,0,B1,S
0.3,1,66.61,2,295.27,0,0,0,0,0,,0,0,0,1,621.3,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,,0,74,1,8,126,56,668,0,1,0,B14,R
,1,2988.72,4,2705.88,0,1,1,0,0,0,2,1,7724.73,1,2729.17,21,1094.35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,103997.45,1,101367.38,0,0,15,1,7,99,44,621,0,1,1,B2,U
11.4,1,1419.45,5,3817.38,0,14,0,1,10.78,3,11,1,15.94,1,584.14,6,256.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,10.5,90,75,710,0,1,0,B3,R
0.4,1,1710.38,3,3253.55,0,15,0,1,10.32,2,1,0,0,1,1484.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,6.5,105,68,701,0,1,0,B17,R
1.1,1,-0.63,2,482.96,0,1,0,0,0,1,0,0,0,1,719.9,2,60.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,2,139,41,686,0,1,0,B6,U
2.4,1,268.42,2,1374.28,0,5,1,0,0,1,0,1,648.9,0,0,4,261.61,0,0,0,0,0,0,0,0,1,10020.38,0,0,0,0,0,1,15634.63,0,0,95,1,10,138,67,736,0,1,0,B2,R
8.3,1,830.84,1,128.14,0,1,0,0,0,0,0,1,52.5,1,148.9,1,46.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,190.08,0,0,113,1,9.5,149,65,700,0,1,0,B5,U
1.8,1,9621.63,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10922.73,0,0,0,0,0,1,44131.65,0,0,25,1,10.5,120,52,663,0,1,0,B4,U
2.8,0,0,0,0,0,0,0,0,0,0,0,1,3048.22,1,6673.62,0,0,0,0,0,0,0,0,1,7202.35,1,11144.96,0,0,0,0,0,1,65481.1,0,0,,,,,,695,0,1,0,B4,R
0.8,1,657.85,2,1086.55,0,8,0,0,0,0,2,1,5626.92,1,38.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,42,0,3,109,66,675,0,1,1,B10,R
0.9,0,0,0,0,0,0,0,0,0,0,0,1,9655.54,0,0,0,0,1,40400,0,0,0,0,1,11541.58,0,0,0,0,0,0,0,1,0,0,1,,,,,,668,0,1,1,B3,S
14.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47323.38,0,0,0,0,0,0,0,0,0,0,0,47,1,8.5,106,26,595,0,1,0,B5,R
14.8,1,1901.31,4,3888.41,0,6,1,0,0,0,1,1,2110.73,1,484.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,327.68,0,1,,,,,,722,0,1,0,B4,S
0.3,1,15359.49,6,5688.65,0,3,1,0,0,2,2,1,9378.31,1,478.69,43,2608.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,119,0,2.5,174,45,626,0,1,1,B2,S
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41500,1,4751.68,0,0,1,0,0,0,1,15015.86,0,0,0,1,98.97,0,0,,,,,,644,0,1,1,B2,R
2.1,1,872.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.75,0,0,1,6725.6,0,0,1,15684,0,0,0,1,0,0,0,,,,,,609,0,1,1,B2,R
0.5,1,6124.53,3,9592.52,0,19,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4315.89,0,0,0,0,0,0,0,0,0,1,4184.96,1,0,25,1,8.5,111,52,688,0,1,0,B16,R
4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,1,6.5,107,52,700,0,1,1,B4,U
4.8,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,1,15148.7,0,0,0,,,,1,73,1,13,128,56,698,0,1,0,B15,U
4.1,1,8462.27,2,4218.1,0,7,0,0,0,0,3,0,0,1,1427.92,1,60.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,155.13,0,1,31,0,4,117,57,605,0,1,1,B5,R
2.7,1,647.96,2,530.88,0,1,1,0,0,0,0,0,0,1,132.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,4,112,42,594,0,1,0,B2,R
2.1,1,117.44,2,646.64,0,2,0,0,0,0,1,0,0,1,1017.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,5,98,42,671,0,1,0,B4,U
4.1,1,373.64,2,1118.97,0,2,0,0,0,0,0,0,0,1,1592.35,9,477.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1,9.5,117,44,692,0,1,0,B7,U
0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,92.74,0,0,5,0,5.5,89,34,609,0,1,1,B5,R
18.4,1,938.11,2,502.57,0,7,1,0,0,0,0,0,0,1,10.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,37,1,13.5,95,48,699,0,1,0,B4,U
22.1,1,336.39,1,574.08,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,24290.89,0,0,0,0,0,0,0,0,0,0,0,1,1288.48,1,0,44,1,4.5,104,,,0,1,1,B6,U
0.6,1,106.2,2,917.33,0,0,1,0,0,0,0,0,0,1,1173.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,1,9.5,123,50,644,0,1,0,B2,S
4.2,0,0,0,0,0,0,0,0,0,0,0,1,158.43,0,0,0,0,0,0,0,0,1,2871.59,0,0,0,0,0,0,0,0,0,1,3016.84,1,1,135,1,3.5,171,,,0,1,0,B4,U
0.4,1,11.36,2,141.16,0,1,0,0,0,0,0,1,15.47,1,204.46,1,16.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,84,49,706,0,1,0,B6,R
1.6,1,379.93,5,1950.02,0,11,1,0,0,3,0,0,0,1,1344.33,1,120.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,6,134,33,692,0,1,0,B4,U
2.3,1,2517.23,3,1994.65,1,4,0,0,0,0,0,1,1906.18,1,3823.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,3.5,126,38,646,0,1,1,B16,R
13.4,1,1948.21,5,6428.71,0,10,1,1,9.64,0,8,1,12731.96,1,430.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,89,48,588,1,1,1,B8,U
1.3,1,1873.14,3,2479.96,0,9,0,0,0,0,0,0,0,1,2338.21,4,62.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,0,5,104,50,657,0,1,0,B2,U
12.5,0,0,0,0,0,0,0,0,0,0,0,1,9358.56,1,3175.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,9.5,82,50,707,0,1,0,B4,S
